"","LSOA21CD","senior_index","child_index","adult_index","over_66","children","female_perc","white_perc","disabled_perc","imd_score","imd_rank","samhi_index","samhi_rank","bi_class","imd_decile_liv","samhi_decile_liv"
"1","E01034399",0.833333333333333,0.75,0.8,0.224108658743633,0.190152801358234,45,18.8,28.6,74.468,116,5.041792081,45,"3-3",10,10
"2","E01006779",0.833333333333333,1,0.8,0.215835140997831,0.265726681127983,53.6,12.6,31.7,72.513,173,5.173858976,33,"3-3",10,10
"3","E01006562",0.833333333333333,1,0.8,0.146762589928058,0.294964028776978,50.7,21.2,27.8,78.655,37,4.113902911,168,"3-3",10,10
"4","E01006610",0.666666666666667,1,0.8,0.207547169811321,0.28011611030479,53.7,10.2,27.8,73.776,132,3.958808656,203,"3-3",10,10
"5","E01006735",0.166666666666667,0.75,0.6,0.137190082644628,0.35702479338843,52.6,9.09999999999999,28.7,69.181,301,4.208339463,150,"3-3",10,10
"6","E01033747",0.833333333333333,1,0.8,0.175525339925834,0.34610630407911,52.7,19.2,24.9,74.499,114,4.089949998,173,"3-3",10,10
"7","E01006558",0.833333333333333,1,0.8,0.107843137254902,0.282679738562091,50.6,15.3,24.5,83.903,13,5.100787738,38,"3-3",10,10
"8","E01006563",0.666666666666667,1,0.8,0.253986332574032,0.209567198177677,48,21.5,33.1,78.172,43,4.654896996,76,"3-3",10,10
"9","E01006778",0.5,1,0.8,0.180297397769517,0.232342007434944,50.4,16.7,28.4,70.381,266,4.030503448,187,"3-3",10,10
"10","E01006611",0.833333333333333,0.75,0.8,0.10233918128655,0.271929824561404,51.1,13.1,26.1,82.675,18,4.494269185,98,"3-3",10,10
"11","E01006790",0.666666666666667,1,0.6,0.150462962962963,0.309027777777778,54.2,11.9,28.8,72.566,170,4.592279109,87,"3-3",10,10
"12","E01006540",0.333333333333333,0.75,0.4,0.122828784119107,0.32258064516129,49.2,27.2,26.1,79.58,30,4.089921459,174,"3-3",10,10
"13","E01006703",0.666666666666667,1,0.8,0.183979974968711,0.267834793491865,49.3,13.9,27.2,72.673,165,4.094686939,172,"3-3",10,10
"14","E01006760",0.333333333333333,0.75,0.4,0.133136094674556,0.168639053254438,40.3,20.7,26.2,79.006,34,5.231468331,30,"3-3",10,10
"15","E01006547",0.666666666666667,1,0.8,0.118120805369128,0.277852348993289,49,26.4,19.8,84.368,10,4.162123083,156,"3-3",10,10
"16","E01006560",0.833333333333333,0.75,0.8,0.193446088794926,0.251585623678647,50.2,16,31.7,72.629,168,4.518432239,95,"3-3",10,10
"17","E01006647",0.5,0.75,0.6,0.131242740998839,0.369337979094077,52.3,26.4,26.6,74.341,121,4.276072414,140,"3-3",10,10
"18","E01006695",0.666666666666667,1,0.8,0.0985010706638116,0.174518201284797,45.3,33.7,23.4,74.929,105,4.588876369,88,"3-3",10,10
